Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.002255219750934177     4386                     4.247534243032308        4.808328062428135        -0.0869053852997825      1.2290503611943342       0                        0                        0.99995215               0.05                     0.0999724591190222       0.0848195706421393       0.01                     0.5135521688498557       2.5e-06                  0.6162109375             -5.6474648               3.845569                 
400                      0.7839820825391346       1738958                  9.53551473709814         23.26163834648972        -0.03856588923742707     0.9727957106459849       0                        0                        0.978269825              0.05                     0.08824184145432742      0.0024137040845744195    0.01                     0.29053521767491475      2.5e-06                  0.1318359375             0.2728673                0.5849046                
800                      1.556010435488489        3472429                  9.739507079282621        31.31957111974998        -0.03856588923742707     0.9727957106459849       0                        0                        0.9566014375             0.05                     0.07789392601833105      0.002171549256565734     0.01                     0.29503903401029463      2.5e-06                  0.17784926470588236      0.0017016664             0.5206889                
1200                     2.328865352272987        5186175                  10.55815875673279        38.25782096528681        -0.03856588923742707     0.9727957106459849       0                        0                        0.9351796125             0.05                     0.0688571480933026       0.002017305625145127     0.01                     0.3021683632978238       2.5e-06                  0.20166015625            0.020643175              0.7315338                
1600                     3.1194157054026923       6902878                  11.63588993895177        60.57184474379541        -0.03856588923742707     0.9727957106459849       0                        0                        0.913721225              0.05                     0.060855952252469474     0.003371693645703999     0.01                     0.28467895032372326      2.5e-06                  0.2001953125             0.063870125              0.394812                 
2000                     3.929528002606498        8643582                  12.801853904579975       131.28907027053924       -0.03856588923742707     0.9727957106459849       0                        0                        0.891963225              0.05                     0.053691812203823935     0.001574201352602412     0.01                     0.2773925274720087       2.5e-06                  0.20519301470588236      0.15876411               0.43964365               
2400                     4.74686751736535         10371553                 15.109245306349969       304.25877532978876       -0.03856588923742707     0.9727957106459849       0                        0                        0.8703647875             0.05                     0.04741458664154737      0.0018479530450242559    0.01                     0.28626220372012434      2.5e-06                  0.20726102941176472      -0.106026895             0.52795714               
2800                     5.6060644813378655       12150888                 19.635430284088866       280.73685914759767       -0.03856588923742707     0.9727957106459849       0                        0                        0.8481197                0.05                     0.041715672571586135     0.0016994802467706904    0.01                     0.2968349861330353       2.5e-06                  0.1748046875             0.13948713               0.4524736                
3200                     6.486343932814068        13934558                 26.095584808153617       384.9317593573699        -0.03856588923742707     0.9727957106459849       0                        0                        0.825825625              0.05                     0.03669138136706172      0.0014119295315407833    0.01                     0.2930033568511991       2.5e-06                  0.20220588235294118      -0.07519023              0.48238376               
3600                     7.3699325337012604       15707695                 34.458701539037676       424.92591128459077       -0.03856588923742707     0.9727957106459849       0                        0                        0.8036638125             0.05                     0.03229680276114488      0.0013993415975978437    0.01                     0.28891943140249504      2.5e-06                  0.21114309210526316      0.09465464               0.5125297                
4000                     8.257142200138833        17466759                 45.48647769862072        435.02959591548506       -0.03856588923742707     0.9727957106459849       0                        0                        0.7816782625             0.05                     0.028457428690167725     0.00205199254619134      0.01                     0.28494934688377027      2.5e-06                  0.19163602941176472      -0.13609767              0.46993914               
4400                     9.145737623174986        19219418                 67.05642956462002        271.0125876619235        -0.03856588923742707     0.9727957106459849       0                        0                        0.7597747125             0.05                     0.025086309801252614     0.0015394724844768727    0.01                     0.2938537560403347       2.5e-06                  0.16888786764705882      -0.026216496             0.72242796               
