Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0021495123042000663    4381                     4.679715234226221        8.582115436121299        0.05927815011546461      0.964399028231082        0                        0                        0.9999525625000001       0.05000000000000001      0.09997269650799478      0.07809850514604477      0.01                     0.38571230723755434      2.5e-06                  0.57958984375            -5.0738463               3.8571544                
400                      0.7045431666904025       1739294                  11.59706900786514        32.67034751679962        0.0850491525759839       0.8079477683593606       0                        0                        0.9782656249999999       0.049999999999999996     0.08823970804445593      0.0028993416565299412    0.01                     0.2875896259211004       2.5e-06                  0.066650390625           -0.23249467              1.0660586                
800                      1.4195605464776357       3485806                  13.05225480869528        34.56075068848051        0.0850491525759839       0.8079477683593606       0                        0                        0.956434225              0.05                     0.07781898509625973      0.0013888882199353247    0.01                     0.2947464300086722       2.5e-06                  0.10986328125            -0.1422125               0.5979797                
1200                     2.1372466825114356       5233950                  13.528791324745775       39.10192797015768        0.0850491525759839       0.8079477683593606       0                        0                        0.934582425              0.05                     0.06862084513054738      0.0008040518166581023    0.01                     0.2949848456773907       2.5e-06                  0.132080078125           0.14459674               0.35084623               
1600                     2.860675275325775        6994606                  13.758484876264983       41.92552170437689        0.0850491525759839       0.8079477683593606       0                        0                        0.912574225              0.05                     0.06045546452082047      0.0005575382920142147    0.01                     0.2929188464768231       2.5e-06                  0.182861328125           0.0076521747             0.2753117                
2000                     3.5990185799863603       8785726                  13.906576187047515       44.29819354050302        0.0850491525759839       0.8079477683593606       0                        0                        0.890185225              0.05                     0.0531450796771062       0.0005999168480457229    0.01                     0.2939176880172454       2.5e-06                  0.134521484375           -0.19381043              0.523468                 
2400                     4.336922822329733        10587614                 14.83935748351525        48.124711704151345       0.0850491525759839       0.8079477683593606       0                        0                        0.867662025              0.05                     0.04668260282751347      0.00040986445148405437   0.01                     0.2808331061969511       2.5e-06                  0.14990234375            0.054255635              0.27107286               
2800                     5.068204923669497        12362126                 15.87269615043711        64.8401315740916         0.0850491525759839       0.8079477683593606       0                        0                        0.845477225              0.05                     0.04108592438170114      0.0004044392734954272    0.01                     0.2929951169062406       2.5e-06                  0.184326171875           -0.035525113             0.24581319               
3200                     5.798090397781796        14092142                 16.903043170719084       75.91855997734467        0.0850491525759839       0.8079477683593606       0                        0                        0.823852225              0.05                     0.03627693296560515      0.00039541151494404403   0.01                     0.28550575947156176      2.5e-06                  0.1435546875             -0.10758577              0.28989115               
3600                     6.555582657986217        15887374                 19.459119724475297       78.51086350320578        0.0850491525759839       0.8079477683593606       0                        0                        0.801417025              0.05                     0.03188178013875952      0.0004398723227656292    0.01                     0.2914898468400625       2.5e-06                  0.18106617647058823      0.084449984              0.20883358               
4000                     7.311974461476008        17669518                 22.620630592455928       91.74937644849582        0.0850491525759839       0.8079477683593606       0                        0                        0.779136225              0.05                     0.028044039006423726     0.00040223261422056567   0.01                     0.2891939816181548       2.5e-06                  0.192138671875           -0.041330993             0.24186234               
4400                     8.064270219074356        19419166                 26.928620943291463       114.15972708822852       0.0850491525759839       0.8079477683593606       0                        0                        0.757266625              0.05                     0.024726722931690058     0.0005053635759930545    0.01                     0.2849454832646776       2.5e-06                  0.16773897058823528      -0.039692882             0.30934802               
4800                     8.83158378124237         21194846                 32.02790657985764        115.95021429646866       0.0850491525759839       0.8079477683593606       0                        0                        0.735071825              0.05                     0.021761035753377216     0.0013564107700290151    0.01                     0.28860821324633434      2.5e-06                  0.212158203125           0.04722642               0.28270382               
5200                     9.593656617469257        22939822                 38.761524222372614       115.98632439674329       0.0850491525759839       0.8079477683593606       0                        0                        0.713261025              0.05                     0.01919342864639063      0.0005071723530015921    0.01                     0.2829708229092991       2.5e-06                  0.1606158088235294       0.08461305               0.28814626               
5600                     10.386622714466519       24734730                 47.591685254443036       116.37965819693494       0.0850491525759839       0.8079477683593606       0                        0                        0.6908266750000001       0.05                     0.01686812021634959      0.000599552363382827     0.01                     0.2885607357739526       2.5e-06                  0.1684283088235294       0.06069234               0.28030553               
6000                     11.194759123590257       26546579                 58.816833679305574       116.81257312232538       0.0850491525759839       0.8079477683593606       0                        0                        0.6681809624999999       0.05                     0.014806499839295377     0.0005686736286032315    0.01                     0.2802324690034284       2.5e-06                  0.1410845588235294       0.11202136               0.26958933               
6400                     11.998407557739151       28304744                 71.94506025179854        116.80516682554438       0.0850491525759839       0.8079477683593606       0                        0                        0.6462068999999999       0.05                     0.013047197905495855     0.000638579331598521     0.01                     0.2791291112545878       2.5e-06                  0.1884765625             0.10263956               0.21970023               
6800                     12.820353389912182       30069222                 88.4156917607837         116.85672813248533       0.0850491525759839       0.8079477683593606       0                        0                        0.6241543249999999       0.05                     0.01149174055457026      0.000679210418830304     0.01                     0.2995390695470729       2.5e-06                  0.22183388157894737      0.038077205              0.21567982               
7200                     13.630518531401952       31831210                 105.3573609087133        117.14810123992005       0.0850491525759839       0.8079477683593606       0                        0                        0.6021335125             0.05                     0.010123572123311981     0.00075391294437751      0.01                     0.2865606253237828       2.5e-06                  0.22231657608695654      0.08888516               0.22726084               
7600                     14.426662542819976       33603301                 106.03173225854404       117.55486918865634       0.0850491525759839       0.8079477683593606       0                        0                        0.5799800875             0.05                     0.008911487838470117     0.0007139439792354096    0.01                     0.2932444132621521       2.5e-06                  0.17306385869565216      0.111278385              0.19805488               
8000                     15.215142511195607       35372105                 101.61150235280246       116.39024027243794       0.0850491525759839       0.8079477683593606       0                        0                        0.5578700375000001       0.05                     0.007846484004495773     0.0012826767098747791    0.01                     0.2851798689478765       2.5e-06                  0.2438858695652174       -0.05173714              0.35310656               
8400                     16.014548585083748       37142617                 108.74143799926266       116.90046570901464       0.0850491525759839       0.8079477683593606       0                        0                        0.5357401625             0.05                     0.00690796941797393      0.0003809950918940044    0.01                     0.27989013043596694      2.5e-06                  0.27717391304347827      -0.07683913              0.22490415               
8800                     16.816086684134273       38923101                 111.95435668816513       117.69765063172275       0.0850491525759839       0.8079477683593606       0                        0                        0.5134856375             0.05                     0.006077347834857452     0.0003201194997176492    0.01                     0.28545703848257015      2.5e-06                  0.2195991847826087       0.16820368               0.3720758                
9200                     17.627129831843906       40701110                 111.76818975584851       117.4741095424843        0.0850491525759839       0.8079477683593606       0                        0                        0.49126052500000006      0.05                     0.005347506393646615     0.0003288218641283374    0.01                     0.28853723127394915      2.5e-06                  0.21025815217391303      -0.09875371              0.21918373               
9600                     18.435048117637635       42475490                 110.349538410129         117.62029885595828       0.0850491525759839       0.8079477683593606       0                        0                        0.46907924999999995      0.05                     0.004706500671640693     0.0004113489100508678    0.01                     0.280151856739236        2.5e-06                  0.20974864130434784      0.0651612                0.15561576               
10000                    19.240069556567406       44258709                 112.52776581623573       117.4711644016381        0.0850491525759839       0.8079477683593606       0                        0                        0.4467905375             0.05                     0.004139771246527654     0.00022959846021718556   0.01                     0.28398916554515774      2.5e-06                  0.19344429347826086      0.011201967              0.18027638               
10400                    20.05012708213594        46041452                 112.2042518173491        117.86859544917597       0.0850491525759839       0.8079477683593606       0                        0                        0.4245062500000001       0.05                     0.0036413768343872555    0.0003178660270587779    0.01                     0.2745911448222139       2.5e-06                  0.16287364130434784      0.03668414               0.23772193               
10800                    20.868732547428873       47828605                 112.84923249788065       117.19139520162787       0.0850491525759839       0.8079477683593606       0                        0                        0.40216683750000004      0.05                     0.0032019687846181573    0.00021539390043116052   0.01                     0.28904161330960365      2.5e-06                  0.16474184782608697      -0.07755813              0.24276428               
11200                    21.684511789679526       49609571                 113.4285763663292        117.44130280511362       0.0850491525759839       0.8079477683593606       0                        0                        0.37990476250000005      0.05                     0.0028168382295003895    0.0002462738415211472    0.01                     0.2773552852804246       2.5e-06                  0.16830842391304346      0.013756516              0.13253543               
11600                    22.534871888226935       51411783                 112.95877840812774       118.12293898355188       0.0850491525759839       0.8079477683593606       0                        0                        0.35737711250000004      0.05                     0.0024742454554445483    0.0001880468059386223    0.01                     0.2768165499538831       2.5e-06                  0.18902853260869565      -0.09300806              0.20926607               
12000                    23.36196416940954        53207416                 109.90798659646211       117.88264116677567       0.0850491525759839       0.8079477683593606       0                        0                        0.33493017500000005      0.05                     0.0021743298973008894    0.00021378093294574882   0.01                     0.2718540210195858       2.5e-06                  0.22927989130434784      -0.05313761              0.27666545               
12400                    24.189334863821667       54990927                 114.44671474165543       117.70132621986818       0.0850491525759839       0.8079477683593606       0                        0                        0.3126362875             0.05                     0.0019124527706319673    0.0003298780343851357    0.01                     0.2629729499635489       2.5e-06                  0.21976902173913043      -0.01175636              0.12741475               
12800                    25.014561365975275       56766135                 114.72142887441859       117.94707412267002       0.0850491525759839       0.8079477683593606       0                        0                        0.2904477125             0.05                     0.0016831362797710546    0.00011639459126933576   0.01                     0.2706390181151421       2.5e-06                  0.1953125                0.030410977              0.11688843               
13200                    25.871454200545948       58610438                 115.15595774962136       117.7458107000227        0.0850491525759839       0.8079477683593606       0                        0                        0.26739392500000003      0.05                     0.0014739569950430668    0.00011615426933531126   0.01                     0.2645586472733513       2.5e-06                  0.23573369565217392      -0.011159179             0.14371198               
13600                    26.712948437796697       60395842                 115.00931354945727       117.53882718306293       0.0850491525759839       0.8079477683593606       0                        0                        0.245076375              0.05                     0.0012962564712090993    0.0002453156214909066    0.01                     0.26321750717318576      2.5e-06                  0.2533967391304348       -0.019576238             0.12069461               
14000                    27.571702563762663       62210354                 115.29860437494224       117.94699940114012       0.0850491525759839       0.8079477683593606       0                        0                        0.22239497500000002      0.05                     0.0011375943790362694    0.00011665900918793025   0.01                     0.2622696262095934       2.5e-06                  0.1710258152173913       -0.09094839              0.14459167               
14400                    28.419776023957464       64011649                 115.89952538816662       118.25095221166103       0.0850491525759839       0.8079477683593606       0                        0                        0.2                      0.05                     0.0010000000000000002    0.000108226125818241     0.01                     0.25486547074726096      2.5e-06                  0.2516983695652174       0.018786123              0.10089445               
