Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.002261751956409878     4340                     3.2697661392174657       3.848556087191919        -0.04679976872450928     1.269143888027831        0                        0                        0.9999525375             0.05                     0.0999726821207683       0.05113361811891082      0.01                     0.406679998151958        2.5e-06                  0.55029296875            -1.6160003               4.08527                  
400                      0.6821080149544609       1737882                  6.115593512019149        11.053531186702076       0.07620524494821317      1.186936774173245        0                        0                        0.978283275              0.05                     0.08824867379254438      0.0014128049685549582    0.01                     0.28951294961221075      2.5e-06                  0.14384191176470587      0.028275099              0.56513405               
800                      1.3838528943724102       3470508                  6.578199390237778        13.936787489088431       0.07620524494821317      1.186936774173245        0                        0                        0.9566254875             0.05                     0.07790471062808751      0.0017397876973144078    0.01                     0.2996061889673857       2.5e-06                  0.20059742647058826      -0.013418874             0.63566357               
1200                     2.0542080147398845       5184727                  6.28560778868237         15.062223116975716       0.07620524494821317      1.186936774173245        0                        0                        0.9351971875             0.05                     0.06886411471184312      0.0018331660396597727    0.01                     0.28642380237579346      2.5e-06                  0.171142578125           -0.25623658              0.7657791                
1600                     2.7282143679592346       6877550                  6.484942426371477        13.67248114538974        0.07620524494821317      1.186936774173245        0                        0                        0.9140370499999999       0.049999999999999996     0.06096669112710183      0.001970259568278219     0.01                     0.29879175175857897      2.5e-06                  0.1792279411764706       -0.13210408              0.8329117                
2000                     3.4048176104492613       8576540                  7.797562999869271        16.428868261960154       0.07620524494821317      1.186936774173245        0                        0                        0.892800175              0.05                     0.05395111660081402      0.002112217551899341     0.01                     0.2781337500714204       2.5e-06                  0.20565257352941174      -0.07202284              0.6721904                
2400                     4.100169338054127        10292650                 9.100886541276832        18.28214409750231        0.07620524494821317      1.186936774173245        0                        0                        0.8713479125             0.05                     0.04768368180487959      0.0015086484558303388    0.01                     0.28603692073374987      2.5e-06                  0.1528033088235294       0.24850132               0.59097224               
2800                     4.813211941520373        12050168                 12.379481336418188       17.922707273158633       0.07620524494821317      1.186936774173245        0                        0                        0.8493790375             0.05                     0.042019182013401865     0.0015719929099304863    0.01                     0.30055713845649734      2.5e-06                  0.16748046875            0.041389134              0.57577074               
3200                     5.542024116383659        13832759                 14.780695322718374       21.044997738920795       0.07620524494821317      1.186936774173245        0                        0                        0.8270955625             0.05                     0.036960590938374095     0.0016230677608746191    0.01                     0.28423639840912074      2.5e-06                  0.13671875               -0.00048445657           0.51743096               
3600                     6.292912836538421        15618814                 16.77172660767178        23.936577543700608       0.07620524494821317      1.186936774173245        0                        0                        0.804772375              0.05                     0.032503560537143476     0.0015399555107049108    0.01                     0.2853622464463115       2.5e-06                  0.15711805555555555      -0.088495895             0.53210115               
4000                     7.042689806818962        17386228                 20.902969592074214       21.93145835734802        0.07620524494821317      1.186936774173245        0                        0                        0.78267685               0.05                     0.028621482496539914     0.001454541055328959     0.01                     0.28556133220520086      2.5e-06                  0.15395220588235295      -0.022745928             0.47134134               
4400                     7.79024221903748         19143509                 27.05550183134343        23.43729093514689        0.07620524494821317      1.186936774173245        0                        0                        0.7607128750000001       0.05                     0.02522215483904963      0.0015938907721041082    0.01                     0.28577926030589473      2.5e-06                  0.1449652777777778       0.21723491               0.60315835               
4800                     8.5360858115885          20898576                 41.30345949917849        29.92154725713981        0.07620524494821317      1.186936774173245        0                        0                        0.7387767125             0.05                     0.02223011867875064      0.001677250063241647     0.01                     0.29336330806836486      2.5e-06                  0.1742621527777778       0.06409818               0.6052615                
5200                     9.290714604788356        22654885                 43.70624816823029        84.91271859292215        0.07620524494821317      1.186936774173245        0                        0                        0.7168325375             0.05                     0.01959211601250238      0.0017928288392567993    0.01                     0.3019233059603721       2.5e-06                  0.181884765625           0.02397595               0.43245864               
5600                     10.047420958677927       24416370                 61.0086001247634         221.66472681917423       0.07620524494821317      1.186936774173245        0                        0                        0.6948141875             0.05                     0.017259788466073837     0.0013934392900409875    0.01                     0.2859039802015537       2.5e-06                  0.1986607142857143       0.1337826                0.45162788               
6000                     10.816489563451873       26190485                 92.90974023726895        238.22310598875015       0.07620524494821317      1.186936774173245        0                        0                        0.6726204375             0.05                     0.01518976635638474      0.0014795105246722573    0.01                     0.2948739756008281       2.5e-06                  0.13304227941176472      0.26244023               0.66653895               
6400                     11.697907324300871       28228275                 145.88820513534026       227.88081679684063       0.07620524494821317      1.186936774173245        0                        0                        0.6472172374999999       0.05                     0.013123301111733375     0.0008667413888005008    0.01                     0.2870990457418172       2.5e-06                  0.18682065217391305      0.041496947              0.40487686               
6800                     12.90954949564404        30999051                 217.0007538563027        275.9272109177781        0.07620524494821317      1.186936774173245        0                        0                        0.6125980999999999       0.05                     0.010752148404035149     0.0008337800901177548    0.01                     0.271350160724035        2.5e-06                  0.20167824074074076      0.008764159              0.34007943               
7200                     14.499717058671845       34633382                 273.79134203806893       223.32755871724007       0.07620524494821317      1.186936774173245        0                        0                        0.5671836625             0.05                     0.008278643025511583     0.0008789329159100134    0.01                     0.2894534833612852       2.5e-06                  0.197021484375           -0.22492559              0.7144961                
7600                     16.12817815826999        38330912                 234.0762269855373        239.34954328180635       0.07620524494821317      1.186936774173245        0                        0                        0.5209702375             0.05                     0.006344911863735469     0.0009246838503178664    0.01                     0.2761192962198573       2.5e-06                  0.2566636029411765       -0.5137144               0.5441032                
8000                     17.76042959305975        42060510                 217.2558132337104        229.37789134671627       0.07620524494821317      1.186936774173245        0                        0                        0.47434327500000006      0.05                     0.004851300621818057     0.001463299828117215     0.01                     0.2675461573526263       2.5e-06                  0.2718505859375          -0.028939959             0.38710696               
