Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.001878270771768358     4440                     4.352147040551711        4.863709903536564        -0.015249135043272424    1.039512611866868        0                        0                        0.9999515875             0.05                     0.0999721354076952       0.14226086183043662      0.01                     0.37679472647141665      2.5e-06                  0.60595703125            -7.0345926               3.9674685                
400                      0.6651773331562678       1740023                  11.072525568151466       24.558148097284004       0.10175734257804517      0.8601199324141351       0                        0                        0.9782565125             0.05                     0.08823507948431993      0.00372484195523772      0.01                     0.2774505501284319       2.5e-06                  0.10454963235294118      -0.26143605              0.8383525                
800                      1.3299918950928582       3474036                  11.214048301067043       24.470004143793176       0.10175734257804517      0.8601199324141351       0                        0                        0.956581475              0.05                     0.07788497547772072      0.0023667928993852594    0.01                     0.29369636499049034      2.5e-06                  0.11626838235294118      0.08403562               0.66511446               
1200                     1.991164535416497        5188256                  12.018524958905772       27.747410994478415       0.10175734257804517      0.8601199324141351       0                        0                        0.9351533875             0.05                     0.06884675398004682      0.0030411766713314137    0.01                     0.28901130659505725      2.5e-06                  0.14794921875            -0.084980786             0.75821704               
1600                     2.6580674191978244       6884999                  13.13481277894033        33.79003863492305        0.10175734257804517      0.8601199324141351       0                        0                        0.9139447125             0.05                     0.06093429366297589      0.0033248250344968255    0.01                     0.2921683043241501       2.5e-06                  0.22216796875            -0.058428165             0.8302851                
2000                     3.32952804962794         8595662                  13.95161911784158        43.10608467917096        0.10175734257804517      0.8601199324141351       0                        0                        0.892562225              0.05                     0.05387726763114736      0.0033915279709617607    0.01                     0.283887915970648        2.5e-06                  0.21691176470588236      -0.07367841              0.98089457               
2400                     4.014505445957184        10318285                 16.047294899756338       63.2005826220906         0.10175734257804517      0.8601199324141351       0                        0                        0.8710294875             0.05                     0.04759635759482376      0.0036929572756087188    0.01                     0.2975326053359929       2.5e-06                  0.20726102941176472      -0.28965688              1.1542106                
2800                     4.728334916234016        12083441                 19.17675428012989        71.26483496623747        0.10175734257804517      0.8601199324141351       0                        0                        0.8489678375             0.05                     0.041919837817594334     0.004663717581455498     0.01                     0.29347915403348834      2.5e-06                  0.17434210526315788      -0.23208971              1.2115768                
3200                     5.456637827621566        13865369                 25.430466876008822       64.69885061054057        0.10175734257804517      0.8601199324141351       0                        0                        0.8266902875             0.05                     0.036874464215457925     0.004905768568505664     0.01                     0.2822865979396738       2.5e-06                  0.176025390625           -0.0019893646            0.8950527                
3600                     6.1922563410467575       15647444                 32.903599284642056       82.80253853252769        0.10175734257804517      0.8601199324141351       0                        0                        0.80441695               0.05                     0.03243712653724984      0.005472375671256726     0.01                     0.2834456115470905       2.5e-06                  0.15583881578947367      0.022155939              0.9810441                
4000                     6.928789213299751        17411380                 38.03831746585277        113.97423594574698       0.10175734257804517      0.8601199324141351       0                        0                        0.7823680875             0.05                     0.02857065643299527      0.007113770352803198     0.01                     0.2903767521219218       2.5e-06                  0.16750919117647062      -0.37443882              1.6537963                
4400                     7.658579060236613        19160053                 56.8845576108423         113.62446761983966       0.10175734257804517      0.8601199324141351       0                        0                        0.7605154375             0.05                     0.025193505094459796     0.00783521014433491      0.01                     0.2773822957430693       2.5e-06                  0.1686580882352941       0.021916343              1.143545                 
4800                     8.394272995458708        20915049                 75.49656580199311        73.23047512862091        0.10175734257804517      0.8601199324141351       0                        0                        0.73856485               0.05                     0.02220302382756181      0.006873894743073512     0.01                     0.29698574104729825      2.5e-06                  0.17049632352941177      0.43572274               1.128122                 
